source_file,property_number,date,line_item,amount
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Other Fees,31
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Other Fees,121
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Other Fees,31
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Other Fees,21
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Other Fees,62
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Merchandise Sales (4320),94.16
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Merchandise Sales (4320),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Merchandise Sales (4320),82.02
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Merchandise Sales (4320),20.98
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Merchandise Sales (4320),165.02
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Merchandise Sales (4320),94.55
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Merchandise Sales (4320),34.56
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Merchandise Sales (4320),14.69
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Merchandise Sales (4320),159.42
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Merchandise Sales (4320),137.7
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Merchandise Sales (4320),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Merchandise Sales (4320),15.99
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Merchandise Sales (4320),30.58
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Lock & Pack,94.16
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Lock & Pack,0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Lock & Pack,82.02
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Lock & Pack,20.98
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Lock & Pack,165.02
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Lock & Pack,94.55
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Lock & Pack,34.56
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Lock & Pack,14.69
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Lock & Pack,159.42
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Lock & Pack,137.7
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Lock & Pack,0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Lock & Pack,15.99
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Lock & Pack,30.58
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Other Income (4980),65.55
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Other Income (4980),0
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Revenue - Property,64289.04
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Revenue - Property,66583.73
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Revenue - Property,68660.02
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Revenue - Property,69782.66
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Revenue - Property,74283.32
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Revenue - Property,76368.94
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Revenue - Property,78623.03
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Revenue - Property,77201.1
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Revenue - Property,78438.16
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Revenue - Property,78329.55
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Revenue - Property,78325.58
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Revenue - Property,80803.29
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Revenue - Property,82780.06
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Manager Payroll (5000),4021.46
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Manager Payroll (5000),4451.88
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Manager Payroll (5000),6639.27
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Manager Payroll (5000),4404.51
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Manager Payroll (5000),4206.91
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Manager Payroll (5000),5480.86
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Manager Payroll (5000),3825.66
