run_id,property_name,property_number,managed_by,source_file,reporting_period,line_item,coa,coa2,account_type,coa_confidence,coa_match_method,coa_review_required,month,year,period_date,amount,extracted_at
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,5,2025,2025-05-01,67736.28,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,6,2025,2025-06-01,71360.3,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,7,2025,2025-07-01,74252.19,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,8,2025,2025-08-01,76417.92,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,9,2025,2025-09-01,75582.21,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,10,2025,2025-10-01,76171.14,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,11,2025,2025-11-01,76304.45,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,12,2025,2025-12-01,76503.38,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,1,2026,2026-01-01,79041.5,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,NRI,Net Rental Income,Net Rental Income,EXR_Rollup,1.0,exact_approved,1,2,2026,2026-02-01,80961.08,2026-03-27T10:12:30.781650
